entry,sym,structure,prem,K,spot0,spot_exp,ret
2023-02-24,SAIL,OTM,2.35,85.0,83.35,82.55,-1.0
2023-04-28,HCLTECH,OTM,12.3,1090.0,1067.7,1115.75,0.9961240310077516
2023-04-28,GODREJCP,OTM,17.7,930.0,912.55,1028.2,4.366120218579239
2023-04-28,NTPC,OTM,2.35,175.0,172.7,174.7,-1.0
2023-05-26,PNB,OTM,1.5,51.0,50.15,50.9,-1.0
2023-05-26,JINDALSTEL,OTM,15.0,530.0,524.3,581.15,2.278846153846152
2023-05-26,DRREDDY,OTM,60.8,4650.0,4562.6,5020.35,5.030973163105791
2023-05-26,LT,OTM,28.75,2280.0,2230.15,2391.8,2.809199318569001
2023-06-30,BANDHANBNK,OTM,7.9,247.5,243.4,216.4,-1.0
2023-06-30,PERSISTENT,OTM,143.35,5100.0,5023.3,4717.65,-1.0
2023-06-30,MARICO,OTM,8.8,545.0,533.5,554.8,0.05060034305316823
2023-06-30,AUBANK,OTM,18.3,770.0,752.4,730.35,-1.0
2023-07-28,PERSISTENT,OTM,126.0,4850.0,4733.65,5369.2,3.0798365550840785
2023-07-28,AUBANK,OTM,18.2,740.0,725.55,722.75,-1.0
2023-07-28,HCLTECH,OTM,18.8,1130.0,1110.45,1172.65,1.198453608247427
2023-07-28,GODREJCP,OTM,20.75,1070.0,1045.5,1005.6,-1.0
2023-09-01,NAUKRI,OTM,109.5,4500.0,4401.95,4182.5,-1.0
2023-09-01,MUTHOOTFIN,OTM,27.0,1270.0,1249.2,1218.1,-1.0
2023-09-01,TORNTPHARM,OTM,41.65,1840.0,1799.45,1865.3,-0.4011834319526638
2023-09-01,INDIGO,OTM,43.75,2500.0,2448.3,2343.55,-1.0
2023-09-29,PFC,OTM,9.1,258.0,253.55,230.5,-1.0
2023-09-29,GODREJPROP,OTM,36.15,1600.0,1564.5,1576.05,-1.0
2023-09-29,ABB,OTM,87.75,4200.0,4125.6,3952.4,-1.0
2023-09-29,ASHOKLEY,OTM,3.65,181.0,177.65,166.2,-1.0
2023-10-27,PNB,OTM,2.35,75.0,73.45,77.55,0.023685266961058632
2023-10-27,BANKBARODA,OTM,4.25,202.5,197.75,197.05,-1.0
2023-10-27,MPHASIS,OTM,59.0,2180.0,2129.35,2358.7,1.9983221476510038
2023-10-27,TATAPOWER,OTM,4.05,245.0,239.1,268.05,4.369205683671095
2023-10-27,IDFCFIRSTB,OTM,2.3,88.0,86.65,85.0,-1.0
2023-12-01,CIPLA,OTM,18.15,1240.0,1210.9,1261.45,0.14400000000000265
2023-12-01,CHOLAFIN,OTM,22.25,1160.0,1136.05,1239.0,2.457330415754923
2023-12-01,BALKRISIND,OTM,63.0,2640.0,2579.4,2527.15,-1.0
2023-12-01,BAJFINANCE,OTM,112.0,7450.0,7303.15,7268.75,-1.0
2023-12-29,ASHOKLEY,OTM,5.65,187.0,183.15,169.65,-1.0
2023-12-29,HDFCLIFE,OTM,14.45,665.0,652.4,579.15,-1.0
2023-12-29,DRREDDY,OTM,119.9,5950.0,5834.2,5840.45,-1.0
2024-01-29,MUTHOOTFIN,OTM,38.9,1430.0,1399.75,1306.9,-1.0
2024-01-29,IDFCFIRSTB,OTM,2.45,85.0,83.15,81.1,-1.0
2024-01-29,MPHASIS,OTM,97.7,2640.0,2587.95,2617.15,-1.0
2024-01-29,FEDERALBNK,OTM,3.25,149.0,146.2,150.5,-0.5645863570391872
2024-01-29,HINDALCO,OTM,17.25,585.0,572.35,503.05,-1.0
2024-03-01,HINDALCO,OTM,14.45,530.0,521.25,560.25,1.009966777408638
2024-03-01,RECLTD,OTM,15.6,470.0,459.9,450.75,-1.0
