entry,exit,sym,side,gross,net,reason,margin,rom
2020-09-25,2020-09-29,MUTHOOTFIN,1,0.03978524229074898,0.03878524229074898,tp,0.22,0.17629655586704082
2020-09-25,2020-09-28,MARUTI,1,0.03449784004849321,0.03349784004849321,tp,0.22,0.15226290931133277
2020-10-30,2020-11-03,HEROMOTOCO,1,0.04451762192951225,0.04351762192951225,tp,0.22,0.19780737240687388
2020-10-30,2020-11-03,LUPIN,1,0.028660675142481384,0.027660675142481383,tp,0.22,0.12573034155673357
2020-10-30,2020-11-04,BALKRISIND,1,0.0230975228743584,0.0220975228743584,tp,0.22,0.10044328579253818
2020-10-30,2020-11-09,BRITANNIA,1,0.023247131800755216,0.022247131800755215,tp,0.22,0.10112332636706917
2020-10-30,2020-11-12,TORNTPHARM,1,0.02072861874147658,0.019728618741476578,tp,0.22,0.08967553973398444
2020-11-27,2020-12-02,LUPIN,1,0.021496992648696978,0.020496992648696977,tp,0.22,0.09316814840316807
2020-11-27,2020-12-03,MUTHOOTFIN,1,0.031069395559031765,0.030069395559031764,tp,0.22,0.13667907072287167
2020-11-27,2020-12-08,RELIANCE,1,0.03230705864181638,0.03130705864181638,tp,0.22,0.14230481200825626
2020-11-27,2020-12-10,DABUR,1,0.02854017501988859,0.02754017501988859,tp,0.22,0.1251826137267663
2021-01-01,2021-01-06,ACC,1,0.029539477707785533,0.028539477707785532,tp,0.22,0.1297248986717524
2021-01-01,2021-01-06,AMBUJACEM,1,0.0425193721438506,0.0415193721438506,tp,0.22,0.18872441883568453
2021-01-01,2021-01-08,M&M,1,0.04718582388485304,0.04618582388485304,tp,0.22,0.20993556311296835
2021-01-01,2021-01-05,BALKRISIND,1,0.020515151515151375,0.019515151515151374,tp,0.22,0.08870523415977898
2021-01-29,2021-02-01,SAIL,1,0.09548611111111116,0.09448611111111116,tp,0.22,0.42948232323232344
2021-01-29,2021-02-01,KOTAKBANK,1,0.04854904236796287,0.04754904236796287,tp,0.22,0.21613201076346758
2021-01-29,2021-02-02,ASIANPAINT,1,0.021248888980756053,0.020248888980756052,tp,0.22,0.09204040445798206
2021-01-29,2021-02-01,DIVISLAB,1,0.026547106365406137,0.025547106365406136,tp,0.22,0.11612321075184608
2021-01-29,2021-02-01,BAJFINANCE,1,0.0686260102865539,0.0676260102865539,tp,0.22,0.3073909558479723
2021-02-26,2021-03-02,MARUTI,1,0.04828240680372642,0.04728240680372642,tp,0.22,0.21492003092602918
2021-02-26,2021-03-02,TCS,1,0.038948092127879086,0.037948092127879085,tp,0.22,0.17249132785399585
2021-02-26,2021-03-01,AUROPHARMA,1,0.020620353159851224,0.019620353159851223,tp,0.22,0.08918342345386919
2021-02-26,2021-03-02,BAJAJ-AUTO,1,0.036108167510498834,0.03510816751049883,tp,0.22,0.1595825795931765
2021-02-26,2021-03-01,BALKRISIND,1,0.022696672437007015,0.021696672437007014,tp,0.22,0.09862123835003188
2021-03-26,2021-03-31,BANKBARODA,1,0.04484933426769455,0.04384933426769455,tp,0.22,0.19931515576224795
2021-03-26,2021-04-01,PNB,1,0.05939226519337004,0.05839226519337004,tp,0.22,0.2654193872425911
2021-03-26,2021-04-01,SBIN,1,0.03635354516442346,0.03535354516442346,tp,0.22,0.1606979325655612
2021-03-26,2021-04-01,INDUSINDBK,1,0.04249557337777321,0.04149557337777321,tp,0.22,0.18861624262624185
2021-03-26,2021-03-31,DLF,1,0.02449849103497259,0.02349849103497259,tp,0.22,0.10681132288623905
2021-04-30,2021-05-07,DLF,1,0.042707493956486875,0.041707493956486874,tp,0.22,0.18957951798403125
2021-04-30,2021-05-07,ULTRACEMCO,1,0.03378946200072952,0.03278946200072952,tp,0.22,0.14904300909422508
2021-04-30,2021-05-17,HCLTECH,1,0.022115331453530063,0.021115331453530062,tp,0.22,0.09597877933422755
2021-04-30,2021-05-04,IDFCFIRSTB,1,0.029493087557603603,0.028493087557603602,tp,0.22,0.12951403435274364
2021-05-28,2021-05-31,JINDALSTEL,1,0.028252134605725843,0.027252134605725842,tp,0.22,0.12387333911693564
2021-05-28,2021-06-03,NAUKRI,1,0.022726260962471434,0.021726260962471433,tp,0.22,0.09875573164759742
2021-05-28,2021-06-02,CHOLAFIN,1,0.025624599615631016,0.024624599615631015,tp,0.22,0.11192999825286826
2021-05-28,2021-06-10,HINDUNILVR,1,0.020728291316526537,0.019728291316526536,tp,0.22,0.08967405143875698
2021-06-25,2021-07-07,BHEL,1,0.03887195121951237,0.03787195121951237,tp,0.22,0.1721452328159653
2021-06-25,2021-07-02,AUROPHARMA,1,0.04318467336683418,0.04218467336683418,tp,0.22,0.19174851530379172
2021-06-25,2021-07-09,ADANIPORTS,1,0.020860950254657062,0.01986095025465706,tp,0.22,0.09027704661207755
2021-06-25,2021-07-27,M&M,1,-0.055622350186673386,-0.05662235018667339,sl,0.22,-0.2573743190303336
2021-07-30,2021-08-09,BHEL,1,-0.054621848739495826,-0.05562184873949583,sl,0.22,-0.2528265851795265
2021-07-30,2021-08-02,CHOLAFIN,1,0.10658569783268779,0.10558569783268779,tp,0.22,0.4799349901485808
2021-07-30,2021-08-03,BANKBARODA,1,0.03233830845771135,0.03133830845771135,tp,0.22,0.14244685662596068
2021-07-30,2021-08-02,PNB,1,0.032786885245901676,0.031786885245901675,tp,0.22,0.1444858420268258
2021-07-30,2021-08-02,IOC,1,0.02502453385672232,0.02402453385672232,tp,0.22,0.10920242662146508
2021-08-27,2021-08-30,SAIL,1,0.027789653698161665,0.026789653698161664,tp,0.22,0.12177115317346211
2021-08-27,2021-08-30,NMDC,1,0.0212418300653594,0.0202418300653594,tp,0.22,0.09200831847890636
2021-08-27,2021-08-30,JINDALSTEL,1,0.027915716011273517,0.026915716011273516,tp,0.22,0.1223441636876069
2021-08-27,2021-09-03,BHEL,1,0.023897058823529438,0.022897058823529437,tp,0.22,0.10407754010695199
2021-08-27,2021-09-03,JSWSTEEL,1,0.022551403935441083,0.021551403935441082,tp,0.22,0.09796092697927765
2021-10-01,2021-10-04,APOLLOHOSP,1,0.0213782836931824,0.020378283693182397,tp,0.22,0.09262856224173817
2021-10-01,2021-10-04,TATASTEEL,1,0.02074943428067355,0.01974943428067355,tp,0.22,0.08977015582124341
2021-10-01,2021-10-14,ACC,1,0.031646980164920846,0.030646980164920845,tp,0.22,0.13930445529509475
2021-10-01,2021-10-06,TATACONSUM,1,0.021682405566600504,0.020682405566600504,tp,0.22,0.09401093439363865
2021-10-01,2021-10-04,DIVISLAB,1,0.08078313875400345,0.07978313875400345,tp,0.22,0.3626506307000157
2021-10-29,2021-11-01,COALINDIA,1,0.03251291400790035,0.03151291400790035,tp,0.22,0.14324051821772887
2021-10-29,2021-11-01,HCLTECH,1,0.03947540412182482,0.03847540412182482,tp,0.22,0.17488820055374918
2021-10-29,2021-11-01,TCS,1,0.02471251739544411,0.02371251739544411,tp,0.22,0.10778416997929141
2021-10-29,2021-11-08,JUBLFOOD,1,0.047994172714274086,0.046994172714274085,tp,0.22,0.2136098759739731
2021-10-29,2021-11-25,TORNTPHARM,1,0.043203408773400565,0.042203408773400564,tp,0.22,0.19183367624272984
2021-11-26,2021-12-02,BHEL,1,0.02097315436241609,0.01997315436241609,tp,0.22,0.0907870652837095
2021-11-26,2021-12-02,HINDALCO,1,0.03429322499701293,0.03329322499701293,tp,0.22,0.1513328408955133
2021-11-26,2021-11-30,BAJFINANCE,1,0.030032848427968162,0.02903284842796816,tp,0.22,0.13196749285440074
2021-11-26,2021-12-08,FEDERALBNK,1,0.023072594259988977,0.022072594259988976,tp,0.22,0.1003299739090408
2021-11-26,2021-12-08,BALKRISIND,1,0.028223765929061173,0.027223765929061172,tp,0.22,0.12374439058664169
2021-12-31,2022-01-18,APOLLOHOSP,1,-0.08304985569914014,-0.08404985569914014,sl,0.22,-0.38204479863245516
2021-12-31,2022-01-03,BAJAJFINSV,1,0.03668138459995696,0.035681384599956956,tp,0.22,0.16218811181798617
2021-12-31,2022-01-04,IOC,1,0.022767857142857117,0.021767857142857117,tp,0.22,0.09894480519480507
2021-12-31,2022-01-03,BANKBARODA,1,0.023086269744835963,0.022086269744835962,tp,0.22,0.10039213520379983
2021-12-31,2022-01-05,GODREJPROP,1,0.02713693387199667,0.02613693387199667,tp,0.22,0.11880424487271214
2022-01-28,2022-01-31,TECHM,1,0.04551067207620396,0.04451067207620396,tp,0.22,0.202321236710018
2022-01-28,2022-01-31,INFY,1,0.029183914843287972,0.02818391484328797,tp,0.22,0.12810870383312714
2022-01-28,2022-02-02,APOLLOHOSP,1,0.039325780233708585,0.038325780233708584,tp,0.22,0.17420809197140266
2022-01-28,2022-01-31,MPHASIS,1,0.023950422461123777,0.022950422461123776,tp,0.22,0.10432010209601716
2022-01-28,2022-02-01,ASIANPAINT,1,0.02655235958657154,0.025552359586571538,tp,0.22,0.11614708902987063
2022-04-01,2022-04-04,HINDALCO,1,0.02251898402723218,0.02151898402723218,tp,0.22,0.09781356376014627
2022-04-01,2022-04-28,TITAN,1,-0.008894235509889992,-0.009894235509889993,expiry,0.22,-0.044973797772227236
2022-04-01,2022-04-21,MARUTI,1,0.022977035923487765,0.021977035923487764,tp,0.22,0.09989561783403529
2022-04-01,2022-04-04,SIEMENS,1,0.02571644676023177,0.02471644676023177,tp,0.22,0.11234748527378077
2022-07-29,2022-08-01,RELIANCE,1,0.022839665547853993,0.021839665547853992,tp,0.22,0.09927120703569997
2022-07-29,2022-08-01,POWERGRID,1,0.021784961349262222,0.02078496134926222,tp,0.22,0.094477097042101
2022-07-29,2022-08-01,ASHOKLEY,1,0.03534511503834614,0.03434511503834614,tp,0.22,0.15611415926520975
2022-08-26,2022-08-30,BRITANNIA,1,0.02697839274759728,0.02597839274759728,tp,0.22,0.11808360339816945
2022-08-26,2022-08-30,HINDUNILVR,1,0.03127777133804743,0.030277771338047432,tp,0.22,0.13762623335476107
2022-08-26,2022-09-01,TATACONSUM,1,0.04365054795368706,0.04265054795368706,tp,0.22,0.1938661270622139
2022-08-26,2022-09-01,MARICO,1,0.020819277108433676,0.019819277108433675,tp,0.22,0.09008762322015307
